age,children,married,salary
58,2,no,100592
48,3,no,128018
34,2,no,143252
62,3,yes,38110
27,0,yes,109309
40,3,yes,57266
58,2,yes,82992
38,2,yes,112948
42,1,yes,128806
30,0,yes,36910
30,3,yes,140989
43,1,yes,120982
55,3,no,149176
59,3,yes,30206
43,1,no,117054
22,1,no,117897
41,1,no,53419
21,1,yes,80636
43,1,yes,144238
63,3,yes,80015
49,1,yes,147478
57,0,no,137059
21,2,yes,84268
40,1,yes,140687
52,1,yes,117939
31,3,yes,48141
41,1,yes,110356
63,1,no,135878
44,1,yes,101910
46,3,no,86044
61,1,yes,97214
47,2,no,147930
35,3,yes,149324
34,2,yes,63827
63,3,no,85820
22,1,no,92623
56,2,no,111734
26,3,yes,105450
40,0,no,123426
28,1,yes,147845
58,3,yes,52299
37,0,no,73585
23,3,no,139225
44,0,yes,94044
33,1,yes,72557
28,2,no,79080
45,0,no,139556
21,3,no,32693
39,1,yes,125003
47,0,yes,125259
